"userId","questionNumber","graphType","timestamp","correctAnswer","answer","serverTime",
946303072,53,"bubble",1645844206866,39,38,1645844207330,
946303072,54,"bar",1645844213565,23,20,1645844213991,
946303072,55,"area",1645844221716,0,100,1645844222178,
946303072,56,"bubble",1645844239635,59,40,1645844240104,
946303072,57,"bar",1645844248289,17,18,1645844248813,
946303072,58,"area",1645844252986,33,80,1645844253307,
946303072,59,"bubble",1645844260537,11,10,1645844260993,
946303072,60,"bar",1645844266172,33,25,1645844266627,
946303072,61,"area",1645844270325,42,80,1645844270421,
946303072,62,"bubble",1645844278201,20,15,1645844278710,
224689213,0,"bar",1645844408791,82,90,1645844410554,
224689213,1,"area",1645844436593,28,60,1645844438369,
224689213,2,"bubble",1645844449553,25,30,1645844451333,
224689213,3,"bar",1645844459895,52,74,1645844461666,
224689213,4,"area",1645844478368,69,40,1645844480287,
224689213,5,"bubble",1645844493931,34,45,1645844495682,
224689213,6,"bar",1645844507468,97,95,1645844509205,
224689213,7,"area",1645844518243,19,50,1645844519982,
224689213,8,"bubble",1645844524526,12,25,1645844526298,
696028880,0,"bar",1645844531921,44,44,1645844530407,
224689213,9,"bar",1645844537451,91,89,1645844539217,
224689213,10,"area",1645844541590,69,40,1645844543008,
224689213,11,"bubble",1645844548250,38,48,1645844550028,
224689213,12,"bar",1645844555593,11,18,1645844557508,
224689213,13,"area",1645844563613,96,50,1645844565380,
224689213,14,"bubble",1645844575330,43,50,1645844577092,
224689213,15,"bar",1645844586836,61,68,1645844588623,
224689213,16,"area",1645844595728,94,37,1645844597494,
224689213,17,"bubble",1645844601106,64,70,1645844603075,
224689213,18,"bar",1645844629807,31,40,1645844631569,
224689213,19,"area",1645844640175,89,55,1645844642295,
224689213,20,"bubble",1645844648640,38,42,1645844650069,
863808093,0,"bar",1645844656176,90,94,1645844658325,
224689213,21,"bar",1645844657772,40,43,1645844659624,
224689213,22,"area",1645844661432,26,35,1645844662855,
224689213,23,"bubble",1645844670048,93,96,1645844671776,
669187621,0,"bar",1645844671282,70,30,1645844672130,
224689213,24,"bar",1645844676694,88,87,1645844678456,
601668031,0,"bar",1645844681992,10,97,1645844684103,
224689213,25,"area",1645844723251,9,41,1645844725028,
224689213,26,"bubble",1645844732614,58,45,1645844734345,
601668031,1,"area",1645844740226,54,42,1645844742031,
224689213,27,"bar",1645844748254,33,42,1645844750022,
224689213,28,"area",1645844753387,51,70,1645844754822,
224689213,29,"bubble",1645844759368,36,35,1645844761160,
224689213,30,"bar",1645844766662,52,68,1645844768525,
601668031,2,"bubble",1645844779938,25,75,1645844781753,
224689213,31,"area",1645844781503,24,50,1645844783425,
224689213,32,"bubble",1645844786502,85,68,1645844787922,
224689213,33,"bar",1645844791621,15,30,1645844793086,
601668031,3,"bar",1645844798178,84,97,1645844799983,
224689213,34,"area",1645844799556,13,40,1645844801300,
224689213,35,"bubble",1645844804205,73,75,1645844805619,
601668031,4,"area",1645844805647,83,35,1645844807454,
224689213,36,"bar",1645844812801,68,86,1645844814587,
601668031,5,"bubble",1645844812487,12,20,1645844814614,
601668031,6,"bar",1645844820555,4,4,1645844822648,
224689213,37,"area",1645844835219,67,55,1645844837036,
601668031,7,"area",1645844835878,62,64,1645844837966,
224689213,38,"bubble",1645844840867,67,68,1645844842651,
669187621,1,"area",1645844844324,66,10,1645844845168,
224689213,39,"bar",1645844855300,16,30,1645844857124,
601668031,8,"bubble",1645844859219,20,30,1645844861027,
224689213,40,"area",1645844862754,64,50,1645844864533,
601668031,9,"bar",1645844863861,87,90,1645844865673,
601668031,10,"area",1645844870885,45,37,1645844872699,
224689213,41,"bubble",1645844872071,91,98,1645844873815,
601668031,11,"bubble",1645844875349,62,87,1645844877165,
224689213,42,"bar",1645844877431,27,25,1645844879328,
601668031,12,"bar",1645844880324,50,50,1645844882138,
601668031,13,"area",1645844896234,51,54,1645844898339,
669187621,2,"bubble",1645844899712,25,25,1645844900537,
601668031,14,"bubble",1645844905411,18,15,1645844907557,
669187621,3,"bar",1645844910495,2,5,1645844911393,
601668031,15,"bar",1645844912910,59,71,1645844914729,
601668031,16,"area",1645844919280,61,34,1645844921386,
601668031,17,"bubble",1645844933039,11,17,1645844935149,
601668031,18,"bar",1645844937046,94,94,1645844938860,
601668031,19,"area",1645844944437,95,69,1645844946562,
601668031,20,"bubble",1645844955242,33,50,1645844957369,
601668031,21,"bar",1645844961047,82,84,1645844963188,
669187621,4,"area",1645844969848,65,30,1645844974239,
669187621,5,"bubble",1645844989383,48,25,1645844990318,
669187621,6,"bar",1645844997895,87,80,1645845002567,
601668031,22,"area",1645845001466,2,61,1645845003573,
669187621,7,"area",1645845004365,57,20,1645845004746,
224689213,43,"area",1645845003817,18,45,1645845005607,
601668031,23,"bubble",1645845005220,14,17,1645845007022,
224689213,44,"bubble",1645845009283,43,45,1645845011121,
601668031,24,"bar",1645845010162,8,17,1645845011962,
669187621,8,"bubble",1645845011603,64,45,1645845012474,
224689213,45,"bar",1645845013969,92,90,1645845015392,
